locality,zone,bhk,total_sqft,bathrooms,balconies,age_years,floor_no,total_floors,property_type,amenities_score,parking,distance_to_it_park_km,price_lakhs
Kalyani Nagar,Premium West,3,1711.6,3,3.0,8,17,23,Apartment,4,1,9.5,337.02
Narhe,Outskirts,2,914.7,2,0.0,12,5,20,Apartment,3,1,10.9,55.89
Wagholi,Outskirts,2,1107.6,2,2.0,8,9,24,Apartment,5,1,8.5,65.01
Ravet,Mid-tier,2,1152.5,2,2.0,8,0,6,Villa,1,1,6.5,101.19
Viman Nagar,IT Corridor,2,1060.6,3,2.0,8,6,21,Apartment,4,1,4.9,116.03
Ravet,Mid-tier,3,1424.7,3,2.0,5,17,21,Apartment,1,1,9.4,117.21
Sinhgad Road,Outskirts,1,666.2,1,2.0,5,13,26,Apartment,4,1,7.8,36.28
Hinjewadi,Mid-tier,3,1609.6,3,2.0,1,1,3,Apartment,4,1,4.3,141.28
Swargate,Central,1,527.3,2,2.0,2,9,12,Apartment,5,1,2.3,40.06
Kalyani Nagar,Premium West,2,777.9,2,2.0,1,2,5,Apartment,5,1,6.9,194.69
Boat Club Road,Premium West,1,636.7,1,1.0,3,12,18,Apartment,0,1,3.4,118.63
Sinhgad Road,Outskirts,3,1450.0,4,1.0,8,1,18,Apartment,0,1,7.7,75.36
Narayan Peth,Central,2,984.6,2,0.0,12,0,15,Apartment,5,1,0.7,58.13
Koregaon Park,Premium West,3,1529.3,3,3.0,2,2,10,Apartment,0,1,2.7,364.13
NIBM Road,Outskirts,2,1025.3,2,3.0,1,6,11,Apartment,0,1,6.7,112.47
Hadapsar,Outskirts,2,1255.7,3,2.0,3,24,27,Apartment,0,1,1.1,100.9
Baner,Premium West,2,989.6,2,2.0,2,1,6,Apartment,1,1,6.0,185.45
NIBM Road,Outskirts,2,1151.4,2,2.0,8,3,3,Apartment,3,1,9.7,73.68
Kondhwa,Outskirts,4,1947.5,4,1.0,8,2,6,Apartment,5,1,5.1,125.93
Boat Club Road,Premium West,2,1085.9,3,2.0,18,15,20,Apartment,4,1,7.3,168.88
Kothrud,IT Corridor,2,1024.4,2,2.0,5,7,25,Apartment,2,1,5.6,119.53
Kothrud,IT Corridor,2,877.3,3,1.0,0,7,15,Apartment,3,1,2.1,103.8
Kiwale,Outskirts,2,1028.9,2,0.0,0,5,27,Apartment,1,1,10.1,60.49
Kondhwa,Outskirts,4,1872.7,4,1.0,2,2,11,Apartment,1,1,2.9,140.63
Kalyani Nagar,Premium West,4,1550.5,5,3.0,25,8,25,Apartment,4,1,4.8,199.24
Kondhwa,Outskirts,3,922.5,3,2.0,2,1,17,Apartment,0,1,12.9,59.62
Camp,Central,2,884.2,2,3.0,18,11,12,Apartment,2,1,13.0,57.2
Kharadi,IT Corridor,3,1343.1,4,1.0,8,12,24,Apartment,5,1,9.0,208.26
Somwar Peth,Central,2,865.4,3,2.0,8,5,5,Builder Floor,4,1,1.1,70.28
Camp,Central,3,1637.0,3,2.0,8,18,19,Apartment,4,1,3.6,122.65
Narhe,Outskirts,3,1690.5,4,2.0,3,5,6,Apartment,5,1,2.5,104.9
Balewadi,IT Corridor,4,1766.6,4,2.0,5,7,7,Apartment,5,1,6.0,232.82
Baner,Premium West,1,836.5,1,1.0,5,0,22,Apartment,4,1,0.4,135.01
Sinhgad Road,Outskirts,2,1132.6,3,1.0,25,0,15,Apartment,5,1,8.8,54.61
Swargate,Central,1,554.5,1,2.0,2,0,5,Apartment,5,0,5.5,54.55
Kondhwa,Outskirts,2,682.5,2,2.0,18,2,19,Apartment,4,1,5.7,52.15
Narayan Peth,Central,2,816.8,2,1.0,8,10,20,Apartment,5,0,1.8,74.03
Kharadi,IT Corridor,2,954.7,2,3.0,5,14,26,Apartment,4,1,7.4,160.16
Narayan Peth,Central,3,1425.4,4,1.0,5,8,11,Apartment,2,0,6.3,123.27
Kalyani Nagar,Premium West,3,1494.2,3,1.0,2,11,11,Apartment,3,0,4.8,369.64
Boat Club Road,Premium West,3,1408.4,3,2.0,3,2,9,Apartment,4,1,6.0,349.48
NIBM Road,Outskirts,4,2282.9,4,2.0,8,4,16,Villa,1,1,8.4,253.2
Chinchwad,Outskirts,2,1121.5,2,1.0,8,23,25,Villa,0,1,11.5,81.09
Viman Nagar,IT Corridor,2,964.4,3,2.0,3,15,19,Apartment,4,1,6.4,103.37
Wagholi,Outskirts,2,941.6,3,3.0,5,1,8,Builder Floor,5,0,11.6,50.95
Balewadi,IT Corridor,2,1296.4,2,1.0,18,5,5,Apartment,0,1,3.8,166.56
Moshi,Outskirts,2,919.9,2,2.0,8,13,16,Apartment,4,1,8.8,51.68
Kiwale,Outskirts,3,1957.9,3,3.0,5,3,25,Apartment,5,1,3.9,123.25
Baner,Premium West,3,1327.8,3,1.0,0,8,13,Apartment,5,1,0.2,306.63
Bavdhan,Mid-tier,3,1172.7,3,1.0,8,7,10,Apartment,5,1,4.8,107.97
Kalyani Nagar,Premium West,2,918.1,2,3.0,25,1,6,Apartment,1,1,4.3,127.68
Kothrud,IT Corridor,2,1178.0,2,3.0,3,0,4,Apartment,4,1,3.5,162.31
Ravet,Mid-tier,2,1134.7,2,2.0,8,17,25,Villa,4,1,8.9,98.33
Kiwale,Outskirts,3,1507.2,3,2.0,0,7,9,Builder Floor,2,1,1.8,86.04
Camp,Central,2,744.9,2,1.0,12,11,12,Apartment,1,1,0.0,64.41
Narayan Peth,Central,2,1027.6,2,3.0,8,22,29,Apartment,3,1,13.4,68.97
Koregaon Park,Premium West,2,1100.3,2,2.0,3,5,12,Builder Floor,2,1,2.4,149.33
Hinjewadi,Mid-tier,2,1125.9,2,2.0,5,17,27,Apartment,3,0,9.3,95.16
Hinjewadi,Mid-tier,3,1587.2,4,1.0,5,25,26,Apartment,5,1,4.0,143.36
Magarpatta,Mid-tier,1,577.3,2,2.0,3,1,7,Builder Floor,0,0,2.9,40.24
Somwar Peth,Central,2,1225.3,2,,3,3,4,Apartment,0,0,8.2,91.16
Kharadi,IT Corridor,1,523.7,1,2.0,5,0,14,Apartment,1,1,1.9,50.01
Kharadi,IT Corridor,2,904.6,2,1.0,18,5,11,Apartment,0,1,6.2,93.49
Balewadi,IT Corridor,1,692.3,1,1.0,5,3,6,Apartment,1,1,1.4,97.3
Kothrud,IT Corridor,2,991.5,3,1.0,18,15,26,Apartment,2,1,10.5,96.23
Boat Club Road,Premium West,3,1781.2,3,1.0,0,10,11,Apartment,0,0,3.8,385.94
Hadapsar,Outskirts,2,1090.2,2,1.0,1,15,22,Apartment,4,1,0.8,107.8
Kiwale,Outskirts,3,1502.6,4,2.0,5,0,3,Apartment,3,0,1.0,113.18
Hinjewadi,Mid-tier,1,712.6,1,2.0,2,13,20,Apartment,3,1,7.5,86.78
Undri,Outskirts,5,2666.0,5,,8,6,18,Apartment,3,0,7.2,187.87
Boat Club Road,Premium West,4,1948.4,4,2.0,18,5,21,Apartment,1,1,6.1,278.74
Bavdhan,Mid-tier,3,1589.1,3,1.0,18,11,16,Apartment,5,0,11.7,159.95
Ravet,Mid-tier,2,1326.2,3,1.0,3,1,3,Apartment,3,1,9.9,119.0
Camp,Central,2,1093.9,2,1.0,8,0,15,Builder Floor,2,0,0.2,59.95
Somwar Peth,Central,2,838.6,2,1.0,2,3,26,Apartment,0,1,6.3,53.46
Chinchwad,Outskirts,2,1033.7,3,3.0,25,3,5,Builder Floor,5,0,7.2,51.61
Kharadi,IT Corridor,3,1312.6,3,1.0,2,8,17,Villa,0,1,2.6,208.81
Hadapsar,Outskirts,3,1466.8,3,3.0,1,3,13,Apartment,5,1,1.7,121.03
Shivaji Nagar,Central,2,1205.5,3,2.0,3,8,14,Apartment,3,0,4.7,95.34
Kalyani Nagar,Premium West,2,1346.4,2,2.0,3,9,26,Apartment,0,1,10.7,302.92
Boat Club Road,Premium West,2,1036.2,2,1.0,18,0,7,Apartment,1,1,7.2,152.07
Shivaji Nagar,Central,3,679.1,3,1.0,18,6,8,Apartment,2,1,4.1,73.99
Aundh,Premium West,2,1070.6,2,2.0,0,13,23,Apartment,5,0,9.7,204.06
Ravet,Mid-tier,2,1147.1,2,2.0,5,2,7,Apartment,3,1,7.9,85.07
Narayan Peth,Central,3,1642.2,3,2.0,8,2,7,Apartment,5,1,9.5,150.86
Moshi,Outskirts,2,1105.6,3,2.0,18,4,12,Apartment,2,1,4.3,67.77
Viman Nagar,IT Corridor,3,1415.7,3,0.0,3,5,6,Apartment,1,1,1.8,140.28
Pashan,Premium West,2,1147.6,2,3.0,2,6,6,Apartment,3,1,2.7,193.75
Balewadi,IT Corridor,5,2885.2,5,0.0,3,14,19,Apartment,5,1,9.2,397.43
Balewadi,IT Corridor,2,1066.1,2,1.0,18,11,11,Villa,5,1,1.0,154.75
Kharadi,IT Corridor,2,1281.8,2,1.0,2,11,23,Apartment,3,0,4.2,205.49
Somwar Peth,Central,2,1121.7,3,1.0,8,4,7,Apartment,0,1,2.3,66.42
Baner,Premium West,4,2552.1,4,1.0,8,3,14,Builder Floor,1,1,0.4,335.72
Somwar Peth,Central,3,1501.9,3,2.0,25,0,7,Apartment,5,0,8.0,93.3
Balewadi,IT Corridor,2,1144.2,2,1.0,8,8,11,Villa,4,1,9.4,186.09
Moshi,Outskirts,4,2132.1,5,0.0,1,7,24,Apartment,3,0,6.0,144.75
Hadapsar,Outskirts,3,1898.6,3,1.0,12,6,23,Apartment,4,1,11.5,104.05
Narayan Peth,Central,3,1480.0,4,1.0,3,9,22,Apartment,1,1,8.8,108.22
Hinjewadi,Mid-tier,3,1541.4,4,1.0,8,1,7,Apartment,2,1,11.9,89.97
Ravet,Mid-tier,3,1442.7,4,2.0,5,3,8,Apartment,4,0,4.5,101.09
Wakad,Mid-tier,2,1036.6,3,2.0,3,12,16,Apartment,1,1,9.4,83.55
Hadapsar,Outskirts,2,1000.2,2,1.0,12,0,4,Apartment,2,1,9.0,57.0
Magarpatta,Mid-tier,3,1834.1,3,1.0,3,9,18,Apartment,1,1,3.3,159.89
Viman Nagar,IT Corridor,2,1189.7,2,2.0,18,3,4,Apartment,0,0,3.0,105.31
Pashan,Premium West,3,1592.5,4,0.0,3,1,26,Builder Floor,1,1,8.3,236.32
Kondhwa,Outskirts,2,690.1,2,1.0,5,14,29,Apartment,0,0,12.2,48.99
Baner,Premium West,2,1214.6,2,3.0,18,13,18,Apartment,2,1,12.1,144.88
Kothrud,IT Corridor,2,1172.0,2,0.0,1,10,20,Apartment,4,0,4.2,159.03
Camp,Central,4,2304.8,4,0.0,18,8,9,Builder Floor,2,1,6.1,167.59
NIBM Road,Outskirts,1,731.0,2,1.0,5,9,21,Apartment,0,1,5.9,65.92
Hadapsar,Outskirts,2,987.9,2,2.0,25,1,18,Villa,5,0,2.1,70.3
Somwar Peth,Central,3,1669.6,3,3.0,5,12,13,Apartment,2,1,1.3,130.07
Kharadi,IT Corridor,2,1339.2,2,2.0,5,11,25,Apartment,4,1,5.9,147.35
Boat Club Road,Premium West,2,799.7,2,1.0,3,0,4,Builder Floor,0,1,7.6,137.89
Viman Nagar,IT Corridor,4,2032.7,4,1.0,0,1,5,Builder Floor,3,1,7.3,257.86
Narayan Peth,Central,1,672.3,2,1.0,0,0,11,Apartment,5,1,4.0,61.89
Moshi,Outskirts,1,458.8,1,1.0,2,2,13,Apartment,5,1,9.8,26.63
Koregaon Park,Premium West,4,2092.3,5,2.0,5,28,29,Builder Floor,5,1,5.5,466.98
Hadapsar,Outskirts,2,1246.7,2,2.0,3,2,13,Apartment,5,0,7.8,77.24
Kothrud,IT Corridor,2,1140.6,3,1.0,0,10,29,Apartment,0,0,8.8,124.64
Viman Nagar,IT Corridor,2,984.0,2,2.0,18,2,17,Apartment,2,0,10.0,109.6
Hadapsar,Outskirts,3,1587.9,3,2.0,8,2,13,Apartment,2,1,9.0,121.02
Undri,Outskirts,2,1087.3,2,1.0,25,0,8,Apartment,2,1,7.4,38.44
Viman Nagar,IT Corridor,1,836.3,1,2.0,5,7,9,Villa,0,1,4.4,148.31
Ravet,Mid-tier,3,1901.7,3,2.0,25,14,20,Apartment,2,1,6.2,129.01
Magarpatta,Mid-tier,3,1524.6,3,2.0,8,3,15,Apartment,5,0,0.2,135.58
Kothrud,IT Corridor,2,1068.0,3,2.0,1,6,8,Apartment,2,0,6.7,123.44
Wakad,Mid-tier,3,1420.4,3,2.0,8,0,6,Apartment,4,1,3.5,137.18
Pashan,Premium West,2,718.1,3,1.0,2,2,7,Apartment,0,1,2.0,103.85
Narayan Peth,Central,2,1000.4,3,3.0,5,10,23,Builder Floor,5,1,10.3,91.9
Moshi,Outskirts,2,1137.5,2,2.0,12,3,3,Apartment,0,1,0.7,58.83
Wagholi,Outskirts,2,1087.3,2,2.0,18,11,26,Apartment,2,1,7.6,56.89
Undri,Outskirts,2,833.3,2,1.0,1,1,4,Apartment,4,1,6.6,66.79
Sinhgad Road,Outskirts,2,866.8,2,1.0,3,17,24,Apartment,1,1,5.9,46.23
Hadapsar,Outskirts,3,1001.8,3,1.0,5,6,8,Apartment,4,1,0.5,58.75
Viman Nagar,IT Corridor,2,831.6,3,2.0,8,1,8,Apartment,5,1,7.0,94.24
Sinhgad Road,Outskirts,1,737.6,1,1.0,5,5,22,Apartment,1,1,4.5,52.3
Swargate,Central,2,943.2,2,1.0,12,6,10,Apartment,2,0,6.2,59.07
Boat Club Road,Premium West,3,972.5,3,0.0,12,4,8,Apartment,1,1,5.9,192.11
Boat Club Road,Premium West,2,1051.3,2,2.0,12,4,28,Apartment,4,0,0.0,195.27
Wagholi,Outskirts,2,940.7,3,1.0,8,4,16,Apartment,4,0,7.6,48.4
Baner,Premium West,5,2337.9,5,1.0,25,5,22,Apartment,0,1,7.1,332.08
Swargate,Central,4,2241.8,5,1.0,5,4,13,Villa,3,0,0.0,264.85
Balewadi,IT Corridor,1,679.5,2,0.0,3,7,18,Apartment,5,1,5.4,73.54
Kharadi,IT Corridor,2,1114.6,3,1.0,2,9,23,Builder Floor,0,1,6.6,137.2
Kiwale,Outskirts,2,1090.9,2,2.0,12,1,17,Apartment,2,0,1.9,58.77
Wagholi,Outskirts,2,839.2,2,1.0,0,1,27,Apartment,5,0,2.2,54.09
Kalyani Nagar,Premium West,4,2090.3,4,2.0,3,16,23,Apartment,2,0,2.7,471.03
Bavdhan,Mid-tier,3,1204.8,3,2.0,0,7,7,Apartment,4,0,2.9,111.81
Koregaon Park,Premium West,2,1149.0,2,2.0,5,10,10,Apartment,0,1,3.5,210.73
Undri,Outskirts,1,698.3,1,2.0,2,13,15,Apartment,4,1,0.8,58.67
Kalyani Nagar,Premium West,2,1083.2,2,2.0,0,8,19,Apartment,3,1,8.8,287.87
Sinhgad Road,Outskirts,2,1209.9,2,0.0,3,10,28,Apartment,4,0,4.7,77.72
Koregaon Park,Premium West,3,1599.6,3,1.0,8,4,28,Builder Floor,1,1,6.2,234.37
Hinjewadi,Mid-tier,2,1048.9,2,2.0,25,0,29,Apartment,5,1,2.4,69.42
Balewadi,IT Corridor,3,1651.6,3,3.0,25,8,8,Apartment,5,1,1.5,186.78
Kalyani Nagar,Premium West,3,1441.8,4,1.0,3,10,18,Apartment,0,1,0.8,234.5
Koregaon Park,Premium West,1,681.5,1,2.0,2,16,23,Apartment,0,1,5.3,153.33
Koregaon Park,Premium West,2,879.2,2,2.0,12,1,7,Apartment,0,1,4.5,147.49
Chinchwad,Outskirts,3,1231.3,4,1.0,3,8,8,Apartment,2,0,8.9,106.49
Magarpatta,Mid-tier,2,1092.0,2,2.0,12,5,22,Apartment,4,1,1.5,68.64
Pashan,Premium West,2,1121.4,2,2.0,18,2,4,Builder Floor,1,0,8.5,103.53
Camp,Central,5,2982.9,6,2.0,0,0,3,Apartment,5,1,3.5,332.59
Camp,Central,1,715.5,2,1.0,5,4,7,Builder Floor,1,1,9.5,54.65
Wakad,Mid-tier,4,2507.5,4,2.0,3,1,8,Apartment,5,1,0.9,262.97
Kalyani Nagar,Premium West,2,766.1,2,1.0,0,9,21,Apartment,2,1,1.1,185.83
Moshi,Outskirts,2,860.6,2,1.0,12,12,17,Apartment,2,0,3.1,55.82
Narayan Peth,Central,2,1175.5,2,1.0,0,7,10,Apartment,3,1,1.6,95.31
Ravet,Mid-tier,2,961.7,2,2.0,5,1,9,Apartment,0,1,2.8,67.65
Kalyani Nagar,Premium West,1,709.8,2,1.0,8,12,24,Builder Floor,3,1,4.2,126.03
NIBM Road,Outskirts,2,1226.8,2,1.0,12,9,17,Apartment,1,1,8.6,72.73
Moshi,Outskirts,2,946.0,2,3.0,5,28,28,Apartment,5,1,0.7,54.52
Koregaon Park,Premium West,2,974.7,3,1.0,3,2,10,Apartment,0,0,4.1,220.38
Camp,Central,2,1154.0,3,1.0,3,2,21,Apartment,5,0,6.4,75.94
Undri,Outskirts,2,1500.0,3,1.0,12,4,4,Apartment,5,1,1.6,83.01
Magarpatta,Mid-tier,2,1001.3,2,2.0,0,0,12,Apartment,5,0,0.4,80.78
Hinjewadi,Mid-tier,2,847.4,2,1.0,3,3,10,Apartment,1,0,1.4,63.15
Somwar Peth,Central,2,976.3,2,2.0,8,22,29,Builder Floor,5,1,6.4,87.2
Undri,Outskirts,1,763.5,2,0.0,8,1,11,Apartment,0,1,11.6,45.27
Hinjewadi,Mid-tier,2,1128.2,2,1.0,3,5,5,Villa,2,1,6.9,127.66
Undri,Outskirts,2,1060.7,2,1.0,3,7,11,Apartment,3,1,6.4,87.32
Baner,Premium West,3,1420.9,3,1.0,12,7,24,Apartment,3,1,16.8,226.73
Wakad,Mid-tier,3,1710.7,3,2.0,2,1,22,Apartment,3,1,6.9,161.61
Viman Nagar,IT Corridor,3,1332.6,3,1.0,25,9,11,Villa,2,1,8.4,188.78
Chinchwad,Outskirts,4,1905.9,4,1.0,3,2,6,Builder Floor,1,1,7.9,151.8
Somwar Peth,Central,2,1086.9,2,3.0,8,2,4,Apartment,5,1,14.0,87.1
Magarpatta,Mid-tier,2,1055.8,2,1.0,2,3,11,Apartment,3,1,3.8,99.35
Baner,Premium West,4,2007.3,5,2.0,0,9,13,Apartment,2,1,11.2,438.96
Ravet,Mid-tier,3,1477.9,4,2.0,5,17,18,Apartment,3,1,1.6,120.69
Kalyani Nagar,Premium West,4,2187.3,4,1.0,3,13,18,Apartment,4,0,5.8,404.43
Kalyani Nagar,Premium West,5,2461.5,5,1.0,2,6,8,Apartment,0,0,5.8,548.97
Sinhgad Road,Outskirts,2,675.0,2,1.0,5,16,28,Apartment,2,1,3.5,46.18
Wakad,Mid-tier,2,1174.3,2,2.0,5,8,13,Apartment,5,0,8.5,110.51
Kothrud,IT Corridor,2,1347.1,2,1.0,5,1,10,Villa,2,0,7.8,244.09
Kharadi,IT Corridor,3,1144.4,3,0.0,8,25,26,Apartment,1,0,16.3,124.96
Kalyani Nagar,Premium West,1,537.2,1,2.0,3,1,5,Apartment,4,1,11.2,78.42
Somwar Peth,Central,2,1058.8,2,2.0,2,21,25,Apartment,2,1,7.7,84.53
Wagholi,Outskirts,2,1131.4,3,2.0,1,5,11,Villa,4,0,7.0,88.25
Koregaon Park,Premium West,5,3150.5,6,0.0,5,1,4,Apartment,4,0,9.2,662.73
Sinhgad Road,Outskirts,2,1168.0,2,2.0,8,4,9,Apartment,5,0,6.6,65.01
Chinchwad,Outskirts,3,1275.4,3,2.0,5,4,11,Apartment,0,1,2.5,113.16
Undri,Outskirts,3,1858.4,4,2.0,0,0,6,Apartment,4,1,4.9,123.55
Chinchwad,Outskirts,3,1361.8,3,2.0,3,12,18,Builder Floor,4,0,0.6,93.18
Hinjewadi,Mid-tier,1,603.0,1,2.0,8,9,15,Apartment,4,1,2.5,45.24
Koregaon Park,Premium West,4,1931.2,4,2.0,2,0,10,Villa,4,1,3.0,499.45
Moshi,Outskirts,3,1436.8,3,0.0,1,6,15,Apartment,1,1,5.9,127.61
NIBM Road,Outskirts,3,1523.1,4,2.0,1,5,5,Builder Floor,3,1,10.0,120.94
Kiwale,Outskirts,3,1666.4,4,1.0,0,16,26,Builder Floor,4,1,3.9,112.2
Somwar Peth,Central,2,1064.1,2,1.0,1,7,28,Apartment,0,1,5.4,93.78
Kiwale,Outskirts,2,1258.3,2,2.0,18,7,17,Builder Floor,0,1,2.4,54.56
Narayan Peth,Central,3,1437.0,4,2.0,8,2,19,Apartment,2,1,6.4,121.36
Camp,Central,2,1049.6,3,1.0,3,12,12,Apartment,1,1,5.5,63.25
Balewadi,IT Corridor,1,643.1,1,0.0,5,6,10,Apartment,4,1,9.6,79.6
Magarpatta,Mid-tier,3,1681.1,3,2.0,8,2,4,Apartment,4,1,5.1,165.22
Kiwale,Outskirts,1,452.6,1,1.0,0,4,6,Apartment,2,0,10.6,35.6
Hadapsar,Outskirts,3,1735.3,4,0.0,3,22,23,Builder Floor,5,1,4.7,162.23
Moshi,Outskirts,2,1368.3,2,2.0,3,7,23,Apartment,5,1,7.6,72.4
Boat Club Road,Premium West,4,2569.4,5,2.0,18,5,16,Builder Floor,1,1,6.8,348.73
Hinjewadi,Mid-tier,2,1150.8,2,2.0,5,9,12,Apartment,3,1,11.1,108.09
Wakad,Mid-tier,3,1576.5,4,1.0,12,3,8,Apartment,4,1,2.7,165.61
Pashan,Premium West,3,1314.9,4,1.0,5,8,14,Apartment,0,1,5.6,235.96
Narayan Peth,Central,3,1455.8,3,2.0,5,3,9,Apartment,3,1,1.4,115.39
Kharadi,IT Corridor,3,1872.9,3,2.0,12,4,16,Apartment,0,1,11.4,231.29
Undri,Outskirts,2,894.7,2,2.0,25,10,21,Apartment,5,1,4.7,42.26
NIBM Road,Outskirts,2,1036.2,3,2.0,5,13,26,Apartment,5,0,7.2,107.53
Kalyani Nagar,Premium West,2,1252.6,2,2.0,25,4,9,Apartment,0,1,7.8,143.29
Wagholi,Outskirts,3,1404.9,3,1.0,12,13,14,Apartment,0,1,11.7,65.15
Somwar Peth,Central,2,1296.6,2,0.0,12,8,15,Apartment,1,1,3.2,66.81
Narhe,Outskirts,1,739.7,2,2.0,1,5,8,Apartment,5,1,9.8,56.51
Somwar Peth,Central,4,2370.0,4,0.0,18,9,17,Apartment,2,1,5.4,184.91
Kothrud,IT Corridor,1,613.0,1,2.0,5,2,24,Apartment,1,0,1.7,83.85
Kharadi,IT Corridor,3,1368.3,3,3.0,3,7,12,Apartment,5,1,0.8,203.73
Kalyani Nagar,Premium West,2,901.3,3,3.0,5,11,18,Apartment,0,0,1.1,199.12
Somwar Peth,Central,2,1023.7,3,2.0,0,10,22,Apartment,0,1,10.3,65.0
Koregaon Park,Premium West,3,1696.2,4,3.0,8,1,27,Apartment,2,1,1.3,324.98
Hadapsar,Outskirts,3,1629.8,3,2.0,2,8,15,Apartment,2,1,7.9,123.78
Undri,Outskirts,3,1739.8,3,2.0,3,6,9,Apartment,2,1,11.9,103.53
Kothrud,IT Corridor,2,1156.4,2,2.0,3,15,28,Apartment,0,0,9.5,127.35
Kothrud,IT Corridor,3,1069.0,3,,1,25,28,Apartment,1,1,3.9,120.27
Koregaon Park,Premium West,3,1669.4,3,1.0,0,3,7,Apartment,5,0,5.5,338.77
Somwar Peth,Central,5,2415.6,6,1.0,5,11,19,Apartment,2,1,6.9,236.5
Magarpatta,Mid-tier,4,2282.8,5,2.0,8,12,13,Apartment,0,1,9.9,232.04
Kondhwa,Outskirts,1,543.6,2,0.0,1,1,9,Apartment,4,1,8.5,43.37
Magarpatta,Mid-tier,3,1614.8,3,2.0,8,10,12,Apartment,2,0,1.6,174.21
Boat Club Road,Premium West,3,1313.0,3,1.0,3,16,29,Builder Floor,4,1,7.2,213.02
Pashan,Premium West,2,921.2,2,0.0,2,4,6,Apartment,5,1,1.2,222.3
Koregaon Park,Premium West,2,961.7,2,1.0,5,1,9,Apartment,3,1,6.1,168.69
Pashan,Premium West,3,1499.7,3,1.0,1,15,20,Apartment,3,0,9.6,274.09
Kiwale,Outskirts,3,1347.8,3,2.0,5,0,7,Apartment,2,0,9.5,88.87
Swargate,Central,2,771.7,2,2.0,5,13,25,Apartment,0,1,4.8,60.63
Magarpatta,Mid-tier,2,1164.3,3,0.0,3,10,23,Apartment,1,1,2.5,113.4
Pashan,Premium West,2,1357.3,2,1.0,8,4,11,Apartment,0,0,11.6,147.26
Moshi,Outskirts,2,1041.6,2,3.0,8,8,19,Apartment,2,1,2.9,51.2
Wagholi,Outskirts,4,2586.7,4,2.0,5,24,27,Apartment,2,0,12.3,159.77
Kharadi,IT Corridor,2,1040.7,2,1.0,3,13,19,Apartment,1,1,4.7,157.58
Kalyani Nagar,Premium West,4,2016.4,4,2.0,5,20,25,Apartment,1,0,4.6,440.38
Kondhwa,Outskirts,2,950.6,2,3.0,12,4,23,Villa,5,1,12.0,69.09
Viman Nagar,IT Corridor,2,964.2,3,1.0,18,4,5,Apartment,4,1,1.1,107.79
Ravet,Mid-tier,2,1034.9,3,2.0,5,4,8,Apartment,3,1,6.8,93.51
Shivaji Nagar,Central,2,1274.2,2,1.0,5,2,7,Apartment,0,1,4.2,98.31
Narayan Peth,Central,3,1544.8,4,0.0,8,0,5,Apartment,2,0,14.3,77.26
Kothrud,IT Corridor,3,1673.4,4,1.0,0,4,25,Apartment,3,0,4.1,218.72
Aundh,Premium West,4,2332.9,5,3.0,1,0,4,Apartment,4,1,9.7,309.54
Narayan Peth,Central,5,2524.3,6,3.0,8,2,5,Villa,0,1,5.7,257.35
Swargate,Central,2,922.0,2,0.0,8,4,28,Apartment,5,1,3.3,63.63
Viman Nagar,IT Corridor,3,1541.7,3,0.0,1,10,17,Apartment,5,1,3.1,246.31
Camp,Central,1,562.0,1,0.0,3,5,28,Apartment,4,1,5.2,52.98
Swargate,Central,2,1108.6,3,2.0,8,0,3,Apartment,0,1,7.7,65.88
Hinjewadi,Mid-tier,1,595.5,1,1.0,1,7,16,Apartment,5,1,3.4,59.38
NIBM Road,Outskirts,2,862.8,2,1.0,12,11,18,Apartment,5,1,9.5,73.55
NIBM Road,Outskirts,3,1162.9,3,2.0,0,0,16,Apartment,0,0,4.6,72.04
Aundh,Premium West,3,1234.4,3,3.0,5,1,9,Apartment,3,1,3.7,195.93
Bavdhan,Mid-tier,1,588.1,1,1.0,1,2,17,Apartment,1,1,8.8,45.85
