locality,zone,bhk,total_sqft,bathrooms,balconies,age_years,floor_no,total_floors,floor_ratio,sqft_per_bhk,property_type,amenities_score,parking,distance_to_it_park_km
Moshi,Outskirts,4,1903.7,4,1.0,0,4,25,0.16,475.925,Apartment,4,1,11.8
Viman Nagar,IT Corridor,2,1113.8,2,2.0,2,4,26,0.15384615384615385,556.9,Apartment,2,1,2.7
Viman Nagar,IT Corridor,2,1128.8,3,3.0,3,1,27,0.037037037037037035,564.4,Apartment,4,1,4.7
Shivaji Nagar,Central,3,1638.0,3,1.0,1,8,15,0.5333333333333333,546.0,Apartment,3,1,4.9
Boat Club Road,Premium West,2,1188.2,2,2.0,5,1,9,0.1111111111111111,594.1,Apartment,1,1,0.6
NIBM Road,Outskirts,3,1328.1,3,3.0,2,9,12,0.75,442.7,Apartment,3,0,11.5
Sinhgad Road,Outskirts,3,1612.9,3,1.0,2,16,16,1.0,537.6333333333333,Apartment,4,1,10.4
Sinhgad Road,Outskirts,2,926.0,3,1.0,5,2,9,0.2222222222222222,463.0,Apartment,3,0,2.8
Kiwale,Outskirts,4,2468.9,5,1.0,5,8,14,0.5714285714285714,617.225,Apartment,2,1,2.2
Balewadi,IT Corridor,5,2718.1,5,2.0,12,11,29,0.3793103448275862,543.62,Apartment,0,0,7.7
Hadapsar,Outskirts,4,1922.6,4,2.0,5,5,10,0.5,480.65,Apartment,1,0,13.3
Viman Nagar,IT Corridor,3,1414.4,3,1.0,2,10,22,0.45454545454545453,471.4666666666667,Apartment,3,0,7.4
Kiwale,Outskirts,3,1407.6,3,3.0,18,5,5,1.0,469.2,Villa,0,1,4.7
Sinhgad Road,Outskirts,3,1640.5,3,2.0,2,3,15,0.2,546.8333333333334,Apartment,5,1,11.4
Ravet,Mid-tier,2,1184.8,2,1.0,0,13,21,0.6190476190476191,592.4,Apartment,1,0,7.2
Hinjewadi,Mid-tier,3,1174.7,4,2.0,3,1,6,0.16666666666666666,391.56666666666666,Apartment,3,0,9.3
Undri,Outskirts,3,1935.6,3,2.0,8,24,25,0.96,645.1999999999999,Apartment,4,0,0.3
NIBM Road,Outskirts,4,2057.2,5,2.0,12,1,4,0.25,514.3,Apartment,2,1,1.0
NIBM Road,Outskirts,2,1559.9,2,3.0,5,17,23,0.7391304347826086,779.95,Apartment,1,1,9.6
Somwar Peth,Central,3,1750.2,4,1.0,18,19,21,0.9047619047619048,583.4,Apartment,1,1,0.2
Camp,Central,2,826.1,2,1.0,8,6,17,0.35294117647058826,413.05,Apartment,1,1,8.5
Ravet,Mid-tier,3,1495.5,4,2.0,3,10,25,0.4,498.5,Villa,0,1,10.9
Baner,Premium West,3,1604.6,3,1.0,8,8,11,0.7272727272727273,534.8666666666667,Apartment,1,1,7.7
Ravet,Mid-tier,1,631.8,1,1.0,5,3,28,0.10714285714285714,631.8,Apartment,2,0,13.7
Viman Nagar,IT Corridor,2,1175.8,2,1.0,5,8,17,0.47058823529411764,587.9,Apartment,2,1,7.5
Wakad,Mid-tier,1,591.1,1,2.0,25,1,17,0.058823529411764705,591.1,Apartment,1,1,5.0
NIBM Road,Outskirts,2,994.8,2,1.0,8,21,23,0.9130434782608695,497.4,Builder Floor,1,0,4.7
Chinchwad,Outskirts,2,1097.3,2,3.0,5,5,15,0.3333333333333333,548.65,Apartment,0,0,3.4
Shivaji Nagar,Central,3,1428.0,3,0.0,1,1,3,0.3333333333333333,476.0,Apartment,1,1,6.1
Kiwale,Outskirts,1,844.4,2,2.0,3,0,17,0.0,844.4,Apartment,3,1,3.9
Camp,Central,2,1130.3,2,2.0,12,0,14,0.0,565.15,Apartment,3,1,6.0
Koregaon Park,Premium West,2,778.5,2,1.0,5,18,28,0.6428571428571429,389.25,Apartment,1,1,3.1
Kharadi,IT Corridor,1,689.7,2,3.0,0,5,9,0.5555555555555556,689.7,Apartment,0,1,3.6
Boat Club Road,Premium West,2,1036.2,2,1.0,18,0,7,0.0,518.1,Apartment,1,1,7.2
